Method,Type,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Stacking,Ensemble,0.9909405705306653,0.9918602342664284,0.9948793809740555,0.9933675135987274,0.9984472218622681
Base: LightGBM,Individual,0.9909114717208066,0.9916367811529903,0.995064292216659,0.9933475800668792,0.9982398933699799
Hard Voting,Ensemble,0.990843574497803,0.9919009389804545,0.9946944697314519,0.9932957402383421,
Base: XGBoost,Individual,0.9906398828287923,0.9913547527601014,0.9949505006827492,0.9931493720849336,0.9984087049218724
Weighted Soft Voting,Ensemble,0.9905040883827851,0.9910467636600604,0.995064292216659,0.9930514645866012,0.9983210363750377
Soft Voting,Ensemble,0.9904943887794989,0.9910466368221228,0.9950500682749204,0.9930443176333645,0.9983207232080222
Base: Gradient Boosting,Individual,0.9892334403522896,0.9892524818282095,0.9950216203914429,0.9921286644258179,0.9973147821746958
Base: Random Forest,Individual,0.9836852672725686,0.9817336852746266,0.9945806781975421,0.9881154259227856,0.997798603525992
